respid,countrycode,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9
18622,1040,4,4,5,3,10,3,96,96,96
18623,1040,8,3,5,2,10,98,96,96,96
18632,1040,7,2,3,3,7,3,96,96,96
18644,1040,6,3,5,4,8,3,96,96,96
18646,1040,7,0,5,0,10,98,96,96,96
18648,1040,6,4,1,2,10,3,96,96,96
18652,1040,5,3,5,3,7,4,96,96,96
18658,1040,8,6,2,7,10,7,96,96,96
18664,1040,4,2,5,3,10,98,96,96,96
18665,1040,5,2,3,0,6,1,96,96,96
18672,1040,6,3,5,4,9,1,96,96,96
18681,1040,0,0,0,0,5,0,96,96,96
18683,1040,10,3,8,0,10,3,96,96,96
18699,1040,7,4,5,2,9,3,96,96,96
18706,1040,1,3,6,3,2,2,96,96,96
18713,1040,6,0,3,1,9,1,96,96,96
18737,1040,8,3,6,3,10,3,96,96,96
18741,1040,7,4,7,3,10,98,96,96,96
18745,1040,2,5,98,5,9,98,96,96,96
18748,1040,3,1,5,5,10,6,96,96,96
18768,1040,5,0,0,4,10,6,96,96,96
18769,1040,1,2,5,3,10,10,96,96,96
18785,1040,3,4,4,2,10,1,96,96,96
18790,1040,7,4,5,1,7,1,96,96,96
18803,1040,6,3,6,2,8,5,96,96,96
18808,1040,8,5,6,4,10,4,96,96,96
18820,1040,98,98,98,98,98,98,96,96,96
18845,1040,6,5,5,1,10,4,96,96,96
18885,1040,8,5,4,1,7,2,96,96,96
18904,1040,6,5,5,5,6,4,96,96,96
18947,1040,9,5,8,3,10,3,96,96,96
18967,1040,5,5,0,0,9,0,96,96,96
18990,1040,98,98,98,98,98,98,96,96,96
19062,1040,6,1,4,5,10,5,96,96,96
19082,1040,6,6,6,2,3,3,96,96,96
19085,1040,7,5,5,3,10,3,96,96,96
19086,1040,7,1,3,0,10,5,96,96,96
19148,1040,7,6,5,1,9,5,96,96,96
19149,1040,7,0,5,98,6,98,96,96,96
19154,1040,7,7,4,0,10,6,96,96,96
19155,1040,2,3,4,3,10,0,96,96,96
19180,1040,0,7,0,3,10,98,96,96,96
19183,1040,9,4,3,2,7,3,96,96,96
19184,1040,7,2,4,2,10,98,96,96,96
19202,1040,7,0,98,5,10,98,96,96,96
19215,1040,5,98,98,98,5,98,96,96,96
19284,1040,8,2,5,1,10,3,96,96,96
19302,1040,6,3,3,5,10,98,96,96,96
19305,1040,4,7,98,0,8,98,96,96,96
19316,1040,4,3,6,0,10,2,96,96,96
19319,1040,6,4,98,98,10,98,96,96,96
19322,1040,4,0,3,1,6,3,96,96,96
19384,1040,4,4,5,2,7,2,96,96,96
19387,1040,7,6,3,2,5,3,96,96,96
19404,1040,8,2,6,0,10,1,96,96,96
19421,1040,6,3,6,0,7,5,96,96,96
19431,1040,8,5,0,0,10,0,96,96,96
